,name,ingredients,cuisine
10,Mexican-style stuffed peppers,"3 large mixed peppers , halved oil , for drizzling 2 x 250g pouches lime & coriander rice , cooked 400g can black beans , drained and rinsed 6 Mexican-style chilli cheese slices (use regular cheddar or monterey jack, if you like) 150g fresh guacamole",mexican-recipes
11,Prawn & chorizo quesadilla,"1 tbsp olive oil ½ small  red onion , sliced 1 red pepper , sliced 70g chorizo , finely chopped 1 garlic clove , crushed 1 tbsp chipotle paste ½ tsp cumin ½ tsp ground coriander 100g raw king  prawns , peeled and chopped  1 lime , juiced 2 large flour tortillas guacamole , to serve (optional)",mexican-recipes
12,Shredded beef chilli taco bowls,"600ml beef stock 2 tsp ground cumin 2 tsp ground coriander 3 garlic cloves , finely chopped 300ml passata 100g chipotle chilli paste  (or tomato purée if you don’t want it at all spicy) 1.5 kg piece braising beef 2 x 400g cans black beans or kidney beans, drained but not rinsed 1 lime , juiced small bunch coriander , chopped 8 large flour tortillas soured cream or plain yogurt, lime wedges, diced avocado or guacamole, finely sliced red onion, sliced red chilli, sliced radishes, chopped tomato, crumbled feta or grated mild cheddar",mexican-recipes
13,Enchilada pie,"1 tbsp vegetable oil or rapeseed oil 2 peppers, any colour you like, sliced 1 red onion, halved and sliced 400g can mixed beans, drained 2tsp-2 tbsp fajita spice mix (depending on how spicy you like it) 400g can chopped tomatoes small bunch coriander, chopped 4 corn tortillas 100g low-fat soured cream 30g grated cheddar",mexican-recipes
14,Smoky veggie nachos,"7 soft corn tortillas 1 tbsp rapeseed oil 1 tsp sweet smoked paprika , plus extra to serve 2 red peppers , halved and deseeded 400g can black beans , drained and rinsed ½ bunch of parsley , very finely chopped 50g fat-free yogurt 1 jalapeño , finely sliced 4 spring onions , finely sliced 4 medium tomatoes , deseeded and finely chopped 1 small avocado , peeled, stoned and chopped ½ small bunch of coriander , finely chopped 1 small garlic clove , finely grated 1 lime , zested and juiced 1 tbsp rapeseed oil",mexican-recipes
15,Red cabbage & pickled chilli slaw,"1 small red cabbage (about 500g), finely shredded 1 red onion , thinly sliced 3 medium carrots (about 150g each), coarsely grated 2 tbsp chopped pickled jalapeño chillies , plus 100ml of their pickling liquid 1 lime , juiced (optional)",mexican-recipes
16,Black-eyed bean mole with salsa,"1 red onion , finely chopped 2 large tomatoes , chopped 2 tbsp fresh coriander ½ lime , zest and juice 2 tsp rapeseed oil 1 red onion , halved and sliced  1 garlic clove , finely grated 1 tsp ground coriander 1 tsp mild chilli powder ½ tsp ground cinnamon 400g can black-eyed beans in water 2 tsp cocoa 1 tsp vegetable bouillon 1 tbsp tomato purée",mexican-recipes
17,Mexican eggy bread,"½ medium ripe avocado , stoned and cut into pieces 2 medium tomatoes , deseeded and diced 1heaped tbsp  chopped coriander ½ lime , juiced 2 large eggs , lightly beaten olive oil , for frying 2 thick slices sourdough or crusty bread 15g strong cheddar , grated ½  small red chilli , finely chopped",mexican-recipes
18,Smoky pork & black bean tacos,"2 tsp vegetable oil ½ red onion, chopped 2 tsp each smoked paprika and ground cumin 500g pack lean pork mince 300ml passata 5 tbsp barbecue sauce 400g can black bean, drained small bunch coriander, chopped 8 taco shells 1 ripe avocado, peeled and sliced ½ iceberg lettuce, finely shredded soured cream, to serve (optional)",mexican-recipes
19,Easy vegan tacos,"175g pack baby corn 1 large red onion , sliced (190g) 1 red pepper , deseeded and roughly chopped ½ tsp cumin seeds 2 tsp olive oil 1large ripe kiwi , halved lengthways (110g) 1large tomato , halved (115g) 100g wholemeal flour , plus extra for rolling 1 large garlic clove 15g fresh coriander , chopped 1 tsp vegan bouillon powder ½ tsp smoked paprika 85g red cabbage , finely shredded",mexican-recipes
20,Mexican corn salsa,"3 spring onions , chopped 326g can sweetcorn , drained 150g tomatoes , chopped finely ½ small pack coriander , chopped 2 limes , zest and juice ½ green chilli , chopped",mexican-recipes
21,Vegan bean chilli fries,"400g frozen French fries 2 tbsp olive oil 1 finely chopped onion 1 ripe avocado ½ lime , juiced, plus wedges to serve ½ finely chopped small red onion 1 finely chopped tomato 1  crushed garlic clove ½ tbsp chipotle paste ½ tsp ground cumin ½ tsp  ground coriander 400g can mixed beans , drained ½ 400g can chopped tomatoes ½ chopped small bunch of coriander 2 tbsp dairy-free crème fraîche 2 tbsp crispy fried onions",mexican-recipes
22,Barbacoa beef tacos with pickled watermelon & avocado sauce,"24 small corn tortillas , to serve 2 red onions , cut into wedges 3 whole tomatoes 10 garlic cloves 2 ancho chillies 3 tbsp smoky Mexican spice mix , plus 1 tsp for the watermelon (see below) 75ml vegetable oil , plus 2 tbsp 2-3 lemons (2 are for the avocado cream) 2kg boneless beef brisket or blade, cut into chunks (ask your butcher to do this for you) 500ml chicken stock 3 bay leaves 3 avocados 6 tbsp soured cream 1 small pack coriander , stems chopped, leaves kept whole 50ml white wine vinegar 1 tsp sugar ½ small watermelon , cut into cubes, any large seeds removed 1 tbsp cumin seeds 1½ tsp ground oregano 2 tsp smoked paprika 4 ground cloves 2 tbsp smoked salt flakes 2 tbsp chipotle chilli flakes",mexican-recipes
23,Breakfast burrito,"1 tsp chipotle paste 1 egg 1 tsp rapeseed oil 50g kale 7 cherry tomatoes, halved ½ small avocado, sliced 1 wholemeal tortilla wrap, warmed",mexican-recipes
24,Huevos rancheros,"2 tbsp olive oil 1 small onion , diced 2 garlic cloves , crushed 400g can red kidney beans , drained and rinsed 1 tsp ground cumin ¼ tsp  chilli powder ½ tsp dried oregano 4 eggs 4 small flour tortillas , warmed 1 large tomato , diced handful pickled jalapeño peppers , roughly chopped 30g cheddar , grated 1 avocado , peeled, de-stoned and diced 1 lime , half juiced, half cut into wedges, to serve chopped coriander , to serve",mexican-recipes
25,Tacos dorados de barbacoa,"25g dried  morita chillies 1 dried ancho chilli 1 dried  pasilla mixe chilli 6 garlic cloves 10g sea salt 1 tbsp  balsamic vinegar 5 avocado leaves 150ml  grapeseed oil, plus more for frying 2 lamb shanks (1kg) 4-6 banana leaves 500ml vegetable or  beef stock 1 bulb  garlic, cloves peeled 2 red onions, sliced  4 tomatoes, thickly sliced 250g  tomatillos, roughly chopped 2½ green  jalapeños 2 garlic cloves, peeled ½ small bunch of coriander 1 lime, juiced 1 avocado, peeled with stone removed 20 corn tortillas 200ml  Mexican crema or soured cream 100g  queso fresco or feta 1 cos lettuce, shredded toothpicks",mexican-recipes
26,Chicken & bean enchiladas,"1 tbsp rapeseed oil 2 red onion , sliced 2 red peppers , deseeded and sliced 2 garlic cloves , crushed 2 tsp chipotle paste (add extra if you prefer more heat) 2 skinless chicken breasts, cut into thin strips 400g can black beans or kidney beans small bunch coriander , chopped 500ml passata 1 tsp ketchup or sugar 6 medium tortillas 50g mature cheddar , grated green salad , to serve",mexican-recipes
27,Mexican penne with avocado,"100g wholemeal penne 1 tsp rapeseed oil 1 large onion, sliced, plus 1 tbsp finely chopped 1 orange pepper, deseeded and cut into chunks 2 garlic cloves, grated 2 tsp mild chilli powder 1 tsp ground coriander ½ tsp cumin seeds 400g can chopped tomatoes 196g can sweetcorn in water 1 tsp vegetable bouillon powder 1 avocado, stoned and chopped 1/2 lime, zest and juice handful coriander, chopped, plus extra to serve",mexican-recipes
28,Mexican fiesta rice,"2 tbsp olive oil 1 onion , finely chopped 2 peppers (choose your favourite colours), finely chopped 4 garlic cloves , very finely chopped or crushed 1 tsp cumin seeds or ½ tsp ground cumin 1 tbsp tomato purée small pinch of sweet smoked paprika 250g basmati rice 450ml hot vegetable stock (make sure it’s vegan-friendly) finely chopped coriander  and sliced spring onions, to serve",mexican-recipes
29,Easy chicken fajitas,"2 large chicken breasts, finely sliced 1 red onion, finely sliced 1 red pepper, sliced 1 red chilli, finely sliced (optional) 1 heaped tbsp smoked paprika 1 tbsp ground coriander pinch of  ground cumin 2 medium  garlic cloves, crushed 4 tbsp olive oil 1 lime, juiced 4-5 drops Tabasco 6 medium tortillas bag mixed salad 230g tub fresh salsa",mexican-recipes
30,Mexican tomato rice,"1 tbsp sunflower oil 1 onion, finely chopped 2 garlic cloves, minced  250g long grain rice 1 tsp chipotle paste, optional (more if you want it spicier) 1 tbsp tomato purée 1 x 400g tin chopped tomatoes 750ml hot chicken or vegetable stock small bunch of coriander, finely chopped ",mexican-recipes
31,Tres leches cake,"flavourless oil , for the tin 4 eggs , separated 200g caster sugar 1 tsp vanilla extract 200g plain flour 1 tsp baking powder 100ml milk 410g can evaporated milk 200ml sweetened condensed milk 300ml double cream 2 tbsp icing sugar pinch cinnamon",mexican-recipes
32,Black bean tostadas with avocado salsa,"8 corn tortillas (look for them near the other wraps or by the Mexican food) 2 tbsp olive oil 1 onion , chopped 3 garlic cloves , chopped 1 tbsp smoked paprika 1 tbsp ground cumin 5 tbsp cider vinegar 3 tbsp clear honey 3 x 400g cans black beans , rinsed and drained choose a few toppings- chopped tomatoes, sliced red onion, diced avocado, sliced  jalapeño peppers , coriander sprigs crème fraîche or Tabasco chipotle sauce, to serve",mexican-recipes
33,Best ever chunky guacamole,"1 large ripe tomato 3 avocados, very ripe but not bruised juice 1 large lime handful coriander, leaves and stalks chopped, plus a few leaves, roughly chopped, to serve 1 small red onion, finely chopped 1 chilli, red or green, deseeded and finely chopped tortilla chips, to serve",mexican-recipes
34,Mexican-style stuffed peppers,"3 large mixed peppers , halved oil , for drizzling 2 x 250g pouches lime & coriander rice , cooked 400g can black beans , drained and rinsed 6 Mexican-style chilli cheese slices (use regular cheddar or monterey jack, if you like) 150g fresh guacamole",mexican-recipes
35,Prawn & chorizo quesadilla,"1 tbsp olive oil ½ small  red onion , sliced 1 red pepper , sliced 70g chorizo , finely chopped 1 garlic clove , crushed 1 tbsp chipotle paste ½ tsp cumin ½ tsp ground coriander 100g raw king  prawns , peeled and chopped  1 lime , juiced 2 large flour tortillas guacamole , to serve (optional)",mexican-recipes
36,Shredded beef chilli taco bowls,"600ml beef stock 2 tsp ground cumin 2 tsp ground coriander 3 garlic cloves , finely chopped 300ml passata 100g chipotle chilli paste  (or tomato purée if you don’t want it at all spicy) 1.5 kg piece braising beef 2 x 400g cans black beans or kidney beans, drained but not rinsed 1 lime , juiced small bunch coriander , chopped 8 large flour tortillas soured cream or plain yogurt, lime wedges, diced avocado or guacamole, finely sliced red onion, sliced red chilli, sliced radishes, chopped tomato, crumbled feta or grated mild cheddar",mexican-recipes
37,Enchilada pie,"1 tbsp vegetable oil or rapeseed oil 2 peppers, any colour you like, sliced 1 red onion, halved and sliced 400g can mixed beans, drained 2tsp-2 tbsp fajita spice mix (depending on how spicy you like it) 400g can chopped tomatoes small bunch coriander, chopped 4 corn tortillas 100g low-fat soured cream 30g grated cheddar",mexican-recipes
38,Smoky veggie nachos,"7 soft corn tortillas 1 tbsp rapeseed oil 1 tsp sweet smoked paprika , plus extra to serve 2 red peppers , halved and deseeded 400g can black beans , drained and rinsed ½ bunch of parsley , very finely chopped 50g fat-free yogurt 1 jalapeño , finely sliced 4 spring onions , finely sliced 4 medium tomatoes , deseeded and finely chopped 1 small avocado , peeled, stoned and chopped ½ small bunch of coriander , finely chopped 1 small garlic clove , finely grated 1 lime , zested and juiced 1 tbsp rapeseed oil",mexican-recipes
39,Red cabbage & pickled chilli slaw,"1 small red cabbage (about 500g), finely shredded 1 red onion , thinly sliced 3 medium carrots (about 150g each), coarsely grated 2 tbsp chopped pickled jalapeño chillies , plus 100ml of their pickling liquid 1 lime , juiced (optional)",mexican-recipes
40,Black-eyed bean mole with salsa,"1 red onion , finely chopped 2 large tomatoes , chopped 2 tbsp fresh coriander ½ lime , zest and juice 2 tsp rapeseed oil 1 red onion , halved and sliced  1 garlic clove , finely grated 1 tsp ground coriander 1 tsp mild chilli powder ½ tsp ground cinnamon 400g can black-eyed beans in water 2 tsp cocoa 1 tsp vegetable bouillon 1 tbsp tomato purée",mexican-recipes
41,Mexican eggy bread,"½ medium ripe avocado , stoned and cut into pieces 2 medium tomatoes , deseeded and diced 1heaped tbsp  chopped coriander ½ lime , juiced 2 large eggs , lightly beaten olive oil , for frying 2 thick slices sourdough or crusty bread 15g strong cheddar , grated ½  small red chilli , finely chopped",mexican-recipes
42,Smoky pork & black bean tacos,"2 tsp vegetable oil ½ red onion, chopped 2 tsp each smoked paprika and ground cumin 500g pack lean pork mince 300ml passata 5 tbsp barbecue sauce 400g can black bean, drained small bunch coriander, chopped 8 taco shells 1 ripe avocado, peeled and sliced ½ iceberg lettuce, finely shredded soured cream, to serve (optional)",mexican-recipes
43,Easy vegan tacos,"175g pack baby corn 1 large red onion , sliced (190g) 1 red pepper , deseeded and roughly chopped ½ tsp cumin seeds 2 tsp olive oil 1large ripe kiwi , halved lengthways (110g) 1large tomato , halved (115g) 100g wholemeal flour , plus extra for rolling 1 large garlic clove 15g fresh coriander , chopped 1 tsp vegan bouillon powder ½ tsp smoked paprika 85g red cabbage , finely shredded",mexican-recipes
44,Mexican corn salsa,"3 spring onions , chopped 326g can sweetcorn , drained 150g tomatoes , chopped finely ½ small pack coriander , chopped 2 limes , zest and juice ½ green chilli , chopped",mexican-recipes
45,Vegan bean chilli fries,"400g frozen French fries 2 tbsp olive oil 1 finely chopped onion 1 ripe avocado ½ lime , juiced, plus wedges to serve ½ finely chopped small red onion 1 finely chopped tomato 1  crushed garlic clove ½ tbsp chipotle paste ½ tsp ground cumin ½ tsp  ground coriander 400g can mixed beans , drained ½ 400g can chopped tomatoes ½ chopped small bunch of coriander 2 tbsp dairy-free crème fraîche 2 tbsp crispy fried onions",mexican-recipes
46,Barbacoa beef tacos with pickled watermelon & avocado sauce,"24 small corn tortillas , to serve 2 red onions , cut into wedges 3 whole tomatoes 10 garlic cloves 2 ancho chillies 3 tbsp smoky Mexican spice mix , plus 1 tsp for the watermelon (see below) 75ml vegetable oil , plus 2 tbsp 2-3 lemons (2 are for the avocado cream) 2kg boneless beef brisket or blade, cut into chunks (ask your butcher to do this for you) 500ml chicken stock 3 bay leaves 3 avocados 6 tbsp soured cream 1 small pack coriander , stems chopped, leaves kept whole 50ml white wine vinegar 1 tsp sugar ½ small watermelon , cut into cubes, any large seeds removed 1 tbsp cumin seeds 1½ tsp ground oregano 2 tsp smoked paprika 4 ground cloves 2 tbsp smoked salt flakes 2 tbsp chipotle chilli flakes",mexican-recipes
47,Breakfast burrito,"1 tsp chipotle paste 1 egg 1 tsp rapeseed oil 50g kale 7 cherry tomatoes, halved ½ small avocado, sliced 1 wholemeal tortilla wrap, warmed",mexican-recipes
